Index,Activation,Epochs,Learning Rate,MSE Training Data,MSE Testing data
222,sigmoid,5,0.002,23.514690996274698,6.098276825278332
223,sigmoid,5,0.003,19.79202046235648,4.98956170939297
224,sigmoid,5,0.004,18.019689617166545,4.414882503208351
225,sigmoid,5,0.005,17.287731059701066,4.141744882885751
226,sigmoid,5,0.006,17.026352244597724,4.018957968020585
227,sigmoid,5,0.007,16.94716732990199,3.9652995141636405
228,sigmoid,5,0.008,16.92760543417545,3.9422405213763927
229,sigmoid,5,0.009000000000000001,16.923932806826013,3.9327274318713394
230,sigmoid,5,0.010000000000000002,16.923471046539536,3.92923460332026
231,sigmoid,4,0.001,32.00388110960503,8.489335629717102
232,sigmoid,4,0.002,25.722320170256097,6.731587315791943
233,sigmoid,4,0.003,21.59722005706051,5.536242736128896
234,sigmoid,4,0.004,19.16938325715672,4.7941944874782285
235,sigmoid,4,0.005,17.889725858154687,4.369372248469855
236,sigmoid,4,0.006,17.289038062739177,4.142291447939307
237,sigmoid,4,0.007,17.041459614372208,4.0273532425518415
238,sigmoid,4,0.008,16.954327911399528,3.9714979731186872
239,sigmoid,4,0.009000000000000001,16.929429476998237,3.9453053274853644
240,sigmoid,4,0.010000000000000002,16.924161308085203,3.933730138662617
241,sigmoid,3,0.001,33.928219262203996,9.019574632622742
242,sigmoid,3,0.002,28.50861194492426,7.5174828647048155
243,sigmoid,3,0.003,24.358146687237227,6.341642266055118
244,sigmoid,3,0.004,21.38515716436867,5.473115542688857
245,sigmoid,3,0.005,19.4030836886997,4.86809886701432
246,sigmoid,3,0.006,18.181922743808435,4.470654510026232
247,sigmoid,3,0.007,17.49445688219523,4.224335699981159
248,sigmoid,3,0.008,17.147315928571693,4.080145205159234
249,sigmoid,3,0.009000000000000001,16.99496499365748,4.000275332129255
250,sigmoid,3,0.010000000000000002,16.94007106196545,3.958434669932361
251,sigmoid,2,0.001,36.014906174132356,9.591520906485245
252,sigmoid,2,0.002,31.933984872188784,8.47001922546609
253,sigmoid,2,0.003,28.376270545281336,7.4804145417876935
254,sigmoid,2,0.004,25.36402842470791,6.62955920998701
255,sigmoid,2,0.005,22.895791893223418,5.9183643818091465
256,sigmoid,2,0.006,20.947460804592957,5.342034655742896
